"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 26 19:13:48 MSK 2023","Thu Oct 26 19:13:49 MSK 2023","1116","","test_user","","","","test_api[item2]",""
"passed","Thu Oct 26 19:13:52 MSK 2023","Thu Oct 26 19:13:53 MSK 2023","1140","","test_user","","","","test_api[item6]",""
"failed","Thu Oct 26 19:13:44 MSK 2023","Thu Oct 26 19:13:46 MSK 2023","1131","","test_store","","","","test_api[item9]",""
"failed","Thu Oct 26 19:13:43 MSK 2023","Thu Oct 26 19:13:44 MSK 2023","1106","","test_store","","","","test_api[item8]",""
"passed","Thu Oct 26 19:13:50 MSK 2023","Thu Oct 26 19:13:51 MSK 2023","1127","","test_user","","","","test_api[item4]",""
"passed","Thu Oct 26 19:13:51 MSK 2023","Thu Oct 26 19:13:52 MSK 2023","1096","","test_user","","","","test_api[item5]",""
"failed","Thu Oct 26 19:13:40 MSK 2023","Thu Oct 26 19:13:41 MSK 2023","1151","","test_store","","","","test_api[item5]",""
"passed","Thu Oct 26 19:13:47 MSK 2023","Thu Oct 26 19:13:48 MSK 2023","1123","","test_user","","","","test_api[item1]",""
"failed","Thu Oct 26 18:22:26 MSK 2023","Thu Oct 26 18:22:27 MSK 2023","1482","","test_store","","","","test_api[item2]",""
"passed","Thu Oct 26 18:22:31 MSK 2023","Thu Oct 26 18:22:32 MSK 2023","1104","","test_user","","","","test_api[item2]",""
"failed","Thu Oct 26 19:13:34 MSK 2023","Thu Oct 26 19:13:35 MSK 2023","1137","","test_store","","","","test_api[item0]",""
"failed","Thu Oct 26 19:13:41 MSK 2023","Thu Oct 26 19:13:42 MSK 2023","1147","","test_store","","","","test_api[item6]",""
"failed","Thu Oct 26 19:21:16 MSK 2023","Thu Oct 26 19:21:17 MSK 2023","1058","","test_store","","","","test_api[item5]",""
"passed","Thu Oct 26 19:13:53 MSK 2023","Thu Oct 26 19:13:55 MSK 2023","1145","","test_user","","","","test_api[item7]",""
"passed","Thu Oct 26 19:21:30 MSK 2023","Thu Oct 26 19:21:31 MSK 2023","1046","","test_user","","","","test_api[item8]",""
"failed","Thu Oct 26 19:21:19 MSK 2023","Thu Oct 26 19:21:20 MSK 2023","1087","","test_store","","","","test_api[item8]",""
"passed","Thu Oct 26 19:13:46 MSK 2023","Thu Oct 26 19:13:47 MSK 2023","1123","","test_user","","","","test_api[item0]",""
"passed","Thu Oct 26 18:22:32 MSK 2023","Thu Oct 26 18:22:33 MSK 2023","1118","","test_user","","","","test_api[item3]",""
"failed","Thu Oct 26 19:21:11 MSK 2023","Thu Oct 26 19:21:13 MSK 2023","1142","","test_store","","","","test_api[item1]",""
"passed","Thu Oct 26 19:21:28 MSK 2023","Thu Oct 26 19:21:29 MSK 2023","1086","","test_user","","","","test_api[item6]",""
